id,name,price,category,image,description
1,Classic Cotton Tee,24.99,Tops,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?auto=format&fit=crop&w=400&q=80,"A timeless classic, this 100% cotton tee is a must-have for every wardrobe. Soft, comfortable, and versatile."
2,Slim-Fit Denim Jeans,89.99,Bottoms,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=400&q=80,"Crafted from premium denim with a hint of stretch, these jeans offer a modern slim fit and all-day comfort."
3,Wool Blend Overcoat,199.99,Outerwear,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?auto=format&fit=crop&w=400&q=80,"Stay warm and stylish with our elegant wool blend overcoat, featuring a classic notched lapel and a single-breasted front."
4,White Sneakers,79.99,Footwear,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?q=80&w=464&auto=format&fit=crop,"Minimalist white sneakers that go with everything. Made with a comfortable cushioned sole."
5,Linen-Blend Shirt,45.00,Tops,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=400&q=80,"A breezy and lightweight shirt made from a premium linen blend, perfect for warm weather."
6,Classic Chino Shorts,55.50,Bottoms,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&w=400&q=80,"Versatile and comfortable, these chino shorts are a summer staple for any casual occasion."
7,Leather Belt,39.99,Accessories,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?auto=format&fit=crop&w=400&q=80,"A classic leather belt made from genuine Italian leather. The perfect finishing touch to any outfit."
8,Canvas Tote Bag,29.99,Accessories,https://images.unsplash.com/photo-1515378791036-0648a3ef77b2?auto=format&fit=crop&w=400&q=80,"A durable and spacious canvas tote bag, perfect for daily use. Features an internal pocket for your essentials."
9,Wayfarer Sunglasses,120.00,Accessories,https://images.unsplash.com/photo-1511499767150-a48a237f0083?q=80&w=580&auto=format&fit=crop,"Iconic Wayfarer sunglasses that offer timeless style and 100% UV protection."
10,Denim Jacket,99.99,Outerwear,https://images.unsplash.com/photo-1543087903-1ac2ec7aa8c5?q=80&w=464&auto=format&fit=crop,"A classic denim jacket that will never go out of style. Made from sturdy, high-quality denim."
11,Suede Derby Shoes,139.99,Footwear,https://images.unsplash.com/photo-1549481924-d2e389e6c4b2?q=80&w=464&auto=format&fit=crop,"Elegant derby shoes in soft suede. Perfect for smart-casual occasions."
12,Leather Ankle Boots,149.99,Footwear,https://images.unsplash.com/photo-1517260911205-8a1b5a6ab8c7?auto=format&fit=crop&w=400&q=80,"Handcrafted from genuine leather, these ankle boots are the perfect blend of ruggedness and sophistication."
13,Bomber Jacket,119.99,Outerwear,https://images.unsplash.com/photo-1591047139829-d91620649931?q=80&w=464&auto=format&fit=crop,"A stylish and versatile bomber jacket. Perfect for transitional weather."
14,Leather Loafers,129.99,Footwear,https://images.unsplash.com/photo-1599948127922-267f8a735c02?q=80&w=464&auto=format&fit=crop,"Classic penny loafers handcrafted from full-grain leather. A timeless addition to your shoe collection."
15,Raincoat,149.99,Outerwear,https://images.unsplash.com/photo-1518779836979-43a059521a83?q=80&w=464&auto=format&fit=crop,"A waterproof and windproof raincoat to keep you dry in style. Features a hood and large pockets."
16,Corduroy Trousers,79.99,Bottoms,https://images.unsplash.com/photo-1594938384950-38603903a4b9?q=80&w=464&auto=format&fit=crop,"Comfortable and stylish corduroy trousers. Perfect for a relaxed, vintage-inspired look."
17,Linen Trousers,69.99,Bottoms,https://images.unsplash.com/photo-1619688464309-a039774a5647?q=80&w=464&auto=format&fit=crop,"Lightweight and breathable linen trousers, ideal for warm weather."
18,Tailored Shorts,65.00,Bottoms,https://images.unsplash.com/photo-1622320479294-89d7c67852c0?q=80&w=464&auto=format&fit=crop,"Smart tailored shorts for a polished summer look. Can be dressed up or down."
19,Polo Shirt,39.99,Tops,https://images.unsplash.com/photo-1576995853123-5a1d3b4d4b94?q=80&w=464&auto=format&fit=crop,"A classic polo shirt made from soft, breathable cotton. A wardrobe essential."
20,Oxford Shirt,59.99,Tops,https://images.unsplash.com/photo-1596755094514-9b1e1b000b96?q=80&w=464&auto=format&fit=crop,"A timeless Oxford shirt that can be dressed up or down. Made from 100% cotton."
21,Knit Sweater,89.99,Tops,https://images.unsplash.com/photo-1616224379435-314b9868e8a3?q=80&w=464&auto=format&fit=crop,"A cozy knit sweater perfect for layering. Made from a soft wool blend."
22,Leather Backpack,249.99,Accessories,https://images.unsplash.com/photo-1553062407-98eeb6e0e934?q=80&w=464&auto=format&fit=crop,"A stylish and durable leather backpack with multiple compartments for all your essentials."
23,Merino Wool Scarf,49.99,Accessories,https://images.unsplash.com/photo-1519758219522-60c6803885c1?q=80&w=464&auto=format&fit=crop,"Stay warm with this incredibly soft and luxurious merino wool scarf. Available in various colors."
24,Chelsea Boots,160.00,Footwear,https://images.unsplash.com/photo-1608256247964-629816b3563a?q=80&w=464&auto=format&fit=crop,"Sleek and versatile Chelsea boots in genuine suede. A must-have for any modern wardrobe."
25,Trench Coat,220.00,Outerwear,https://images.unsplash.com/photo-1541427468628-a72387a70267?q=80&w=464&auto=format&fit=crop,"A classic double-breasted trench coat. The ultimate timeless outerwear piece."
26,Cargo Pants,75.00,Bottoms,https://images.unsplash.com/photo-1563178406-412f22c1a056?q=80&w=464&auto=format&fit=crop,"Utilitarian-inspired cargo pants with a modern, slim fit. Made from durable cotton twill."
27,Henley Shirt,42.00,Tops,https://images.unsplash.com/photo-1622445275899-4a4b70756910?q=80&w=464&auto=format&fit=crop,"A comfortable long-sleeve Henley shirt, perfect for casual layering."
28,Beanie Hat,25.00,Accessories,https://images.unsplash.com/photo-1576871335624-7890a38f3224?q=80&w=464&auto=format&fit=crop,"A classic fisherman-style beanie made from a soft, ribbed knit to keep you warm."
29,Chukka Boots,155.00,Footwear,https://images.unsplash.com/photo-1543163521-b3449516361d?q=80&w=464&auto=format&fit=crop,"Versatile chukka boots in a rich brown leather. Can be dressed up or down with ease." 